,entity,year,source,production_percent,consumption_percent,renewable,cp_ratio,production_relative_to_source,consumption_relative_to_source,cp_ratio_relative_to_source,date
7021,Europe,2011,nuclear,25.480415183208315,11.026,False,0.43272450314177663,0.8853768282941165,0.8844973592338609,1.1703646496044167,2011-01-01
7022,Europe,2012,nuclear,24.636437564569757,10.725,False,0.43533079699087157,0.8812874429781584,0.8810212303927226,1.1773380795165898,2012-01-01
7023,Europe,2013,nuclear,24.53581872040371,10.643,False,0.43377399064125793,0.8807871432666228,0.8800481381109256,1.1731774672946003,2013-01-01
7024,Europe,2014,nuclear,25.205182263988007,11.077,False,0.43947311644027676,0.884063810598176,0.8850718947420756,1.188339692976681,2014-01-01
7025,Europe,2015,nuclear,24.31075082773708,10.653,False,0.43820119236488486,0.879657844649795,0.8801674235147846,1.1849721855542064,2015-01-01
7026,Europe,2016,nuclear,23.41902321328908,10.166,False,0.43409154632168107,0.8750392609181732,0.8741507545827516,1.1740272983357325,2016-01-01
7027,Europe,2017,nuclear,23.04482587550694,9.94,False,0.4313332655971452,0.8730291238691171,0.8712064820562742,1.1666258718002716,2017-01-01
7028,Europe,2018,nuclear,23.00892900171956,9.879,False,0.42935505599855156,0.8728339546426404,0.8703942116870382,1.1612899508852428,2018-01-01
7029,Europe,2019,nuclear,23.25034717008214,9.875,False,0.4247248407846081,0.8741386132951607,0.8703406807776957,1.1487093760538125,2019-01-01
7030,Finland,2000,nuclear,32.21183813926058,17.711,False,0.5498289145571422,0.9124661955696367,0.9364090429614571,1.4483122974795377,2000-01-01
7031,Finland,2001,nuclear,30.64702032921706,17.434,False,0.5688644381319986,0.9069086296498089,0.9348998302313848,1.487445348787957,2001-01-01
7032,Finland,2002,nuclear,29.83799141696359,16.79,False,0.5627054370172684,0.9038796724752682,0.9312391940744246,1.4749477219409495,2002-01-01
7033,Finland,2003,nuclear,27.03485416033592,15.87,False,0.587019996700541,0.8924444120829008,0.9256056594768659,1.5234025693696498,2003-01-01
7034,Finland,2004,nuclear,26.540988535218347,15.904,False,0.5992241012009148,0.8902605152534757,0.9258229959042872,1.5468547297828725,2004-01-01
7035,Finland,2005,nuclear,33.08567534992072,17.82,False,0.5386016701044218,0.9154104107195791,0.9369926767746436,1.4245135881087239,2005-01-01
7036,Finland,2006,nuclear,27.915649840400903,16.277,False,0.5830779542320783,0.896206760755623,0.9281600177753748,1.5157054588845351,2006-01-01
7037,Finland,2007,nuclear,28.94360261860828,16.584,False,0.5729763574537847,0.9003968974178913,0.9300208577014923,1.495703552077738,2007-01-01
7038,Finland,2008,nuclear,29.81738894847406,16.742,False,0.5614844421465278,0.9038010664979139,0.9309574337838487,1.4724516817797784,2008-01-01
7039,Finland,2009,nuclear,32.77880090197296,18.378,False,0.5606672451185921,0.9143888003018411,0.9398937892866135,1.4707776790615978,2009-01-01
7040,Finland,2010,nuclear,28.37134975987199,16.266,False,0.5733248554499999,0.8980899881051518,0.9280923124462118,1.4964003408699031,2010-01-01
7041,Finland,2011,nuclear,31.67692406370385,17.666,False,0.5576930375080865,0.9106090177791758,0.9361664246484059,1.4646617592196534,2011-01-01
7042,Finland,2012,nuclear,32.797449985779345,17.973,False,0.5479999209631516,0.9144512605448742,0.9378023938055396,1.4444723216642088,2012-01-01
7043,Finland,2013,nuclear,33.26314011341792,18.242,False,0.5484148501253919,0.915995260653824,0.9391997421537345,1.445344717981047,2013-01-01
7044,Finland,2014,nuclear,34.777979326836416,18.802,False,0.5406294547277346,0.9208182832621363,0.9420060543220804,1.4288523537445446,2014-01-01
7045,Finland,2015,nuclear,34.00923263247101,18.581,False,0.5463516392974833,0.9184077692941081,0.9409146714805716,1.4409995012711803,2015-01-01
7046,Finland,2016,nuclear,33.87735669774454,17.986,False,0.5309150935379046,0.9179866881521822,0.937870687845297,1.4079024100336577,2016-01-01
7047,Finland,2017,nuclear,33.48595411937125,17.898,False,0.5344927588503804,0.9167234964118055,0.9374068495771674,1.4156665417074945,2017-01-01
7048,Finland,2018,nuclear,32.569744092377455,17.067,False,0.5240139422524452,0.9136852487380759,0.9328405770974385,1.392763408001383,2018-01-01
7049,Finland,2019,nuclear,35.22168573584509,18.618,False,0.5285948020668547,0.9221763498909055,0.9410988303943143,1.4028363940295567,2019-01-01
7050,France,2000,nuclear,77.57355817518639,37.572,False,0.48434029434553166,0.994798383959492,0.9939416987643035,1.301387891959243,2000-01-01
7051,France,2001,nuclear,77.22102022572304,37.416,False,0.48453128294122666,0.9944413483145508,0.993691824024642,1.3018462691433388,2001-01-01
